Copyright 1986-2016 Xilinx, Inc. All Rights Reserved.
---------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2016.2 (lin64) Build 1577090 Thu Jun  2 16:32:35 MDT 2016
| Date         : Tue Nov 17 14:52:54 2020
| Host         : Desktop running 64-bit Ubuntu 18.04.5 LTS
| Command      : report_utilization -hierarchical -hierarchical_depth 1 -file base/aes128_base/utilization.txt
| Design       : top
| Device       : 7a100tcsg324-1
| Design State : Synthesized
---------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+-------------+-------------------+------------+------------+---------+------+------+--------+--------+--------------+
|   Instance  |       Module      | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs | RAMB36 | RAMB18 | DSP48 Blocks |
+-------------+-------------------+------------+------------+---------+------+------+--------+--------+--------------+
| top         |             (top) |       9391 |       9391 |       0 |    0 | 7661 |      0 |    440 |            0 |
|   (top)     |             (top) |         32 |         32 |       0 |    0 |    0 |      0 |      0 |            0 |
|   aes128_0  |            aes128 |       3583 |       3583 |       0 |    0 | 3533 |      0 |    344 |            0 |
|   viterbi0  |  viterbi_tx_rx__1 |        361 |        361 |       0 |    0 |  258 |      0 |      6 |            0 |
|   viterbi1  |  viterbi_tx_rx__2 |        361 |        361 |       0 |    0 |  258 |      0 |      6 |            0 |
|   viterbi10 | viterbi_tx_rx__11 |        361 |        361 |       0 |    0 |  258 |      0 |      6 |            0 |
|   viterbi11 | viterbi_tx_rx__12 |        361 |        361 |       0 |    0 |  258 |      0 |      6 |            0 |
|   viterbi12 | viterbi_tx_rx__13 |        361 |        361 |       0 |    0 |  258 |      0 |      6 |            0 |
|   viterbi13 | viterbi_tx_rx__14 |        361 |        361 |       0 |    0 |  258 |      0 |      6 |            0 |
|   viterbi14 | viterbi_tx_rx__15 |        361 |        361 |       0 |    0 |  258 |      0 |      6 |            0 |
|   viterbi15 |     viterbi_tx_rx |        361 |        361 |       0 |    0 |  258 |      0 |      6 |            0 |
|   viterbi2  |  viterbi_tx_rx__3 |        361 |        361 |       0 |    0 |  258 |      0 |      6 |            0 |
|   viterbi3  |  viterbi_tx_rx__4 |        361 |        361 |       0 |    0 |  258 |      0 |      6 |            0 |
|   viterbi4  |  viterbi_tx_rx__5 |        361 |        361 |       0 |    0 |  258 |      0 |      6 |            0 |
|   viterbi5  |  viterbi_tx_rx__6 |        361 |        361 |       0 |    0 |  258 |      0 |      6 |            0 |
|   viterbi6  |  viterbi_tx_rx__7 |        361 |        361 |       0 |    0 |  258 |      0 |      6 |            0 |
|   viterbi7  |  viterbi_tx_rx__8 |        361 |        361 |       0 |    0 |  258 |      0 |      6 |            0 |
|   viterbi8  |  viterbi_tx_rx__9 |        361 |        361 |       0 |    0 |  258 |      0 |      6 |            0 |
|   viterbi9  | viterbi_tx_rx__10 |        361 |        361 |       0 |    0 |  258 |      0 |      6 |            0 |
+-------------+-------------------+------------+------------+---------+------+------+--------+--------+--------------+


